timestamp,elapsed_ms,event,seq_num,detail,rtt_ms,size_bytes
1777647883.6925,50.69,SENT,47,size=1024B,,1024
1777647883.6929,51.09,SENT,48,size=1024B,,1024
1777647883.6933,51.5,SENT,49,size=1024B,,1024
1777647883.6938,51.92,ACK,45,rtt=3.045ms,3.045,
1777647883.6942,52.33,ACK,46,rtt=1.727ms,1.727,
1777647883.6946,52.72,ACK,47,rtt=1.622ms,1.622,
1777647883.695,53.2,SENT,50,size=1024B,,1024
1777647883.6954,53.61,SENT,51,size=1024B,,1024
1777647883.6959,54.05,SENT,52,size=1024B,,1024
1777647883.6963,54.44,ACK,48,rtt=2.941ms,2.941,
1777647883.6967,54.82,ACK,49,rtt=1.675ms,1.675,
1777647883.697,55.17,ACK,50,rtt=1.596ms,1.596,
1777647883.6973,55.5,ACK,51,rtt=1.508ms,1.508,
1777647883.6979,56.05,SENT,53,size=1024B,,1024
1777647883.6984,56.59,SENT,54,size=1024B,,1024
1777647883.6989,57.05,SENT,55,size=1024B,,1024
1777647883.6995,57.7,SENT,56,size=1024B,,1024
1777647883.7,58.19,ACK,52,rtt=2.16ms,2.16,
1777647883.7004,58.55,ACK,53,rtt=2.033ms,2.033,
1777647883.7007,58.89,ACK,54,rtt=1.878ms,1.878,
1777647883.7012,59.36,SENT,57,size=1024B,,1024
1777647883.7017,59.82,SENT,58,size=1024B,,1024
1777647883.7023,60.43,SENT,59,size=1024B,,1024
1777647883.7029,61.07,ACK,55,rtt=3.222ms,3.222,
1777647883.7034,61.56,ACK,56,rtt=2.207ms,2.207,
1777647883.7039,62.02,ACK,57,rtt=2.224ms,2.224,
1777647883.7043,62.5,SENT,60,size=1024B,,1024
1777647883.7048,62.96,SENT,61,size=1024B,,1024
1777647883.7053,63.49,SENT,62,size=1024B,,1024
1777647883.7058,63.93,ACK,58,rtt=3.632ms,3.632,
1777647883.7062,64.37,ACK,59,rtt=1.849ms,1.849,
1777647883.7066,64.73,ACK,60,rtt=1.834ms,1.834,
1777647883.7071,65.27,SENT,63,size=1024B,,1024
1777647883.7076,65.81,SENT,64,size=1024B,,1024
1777647883.7081,66.23,SENT,65,size=1024B,,1024
1777647883.7085,66.66,ACK,61,rtt=3.224ms,3.224,
1777647883.7089,67.08,ACK,62,rtt=1.898ms,1.898,
1777647883.7093,67.46,ACK,63,rtt=1.71ms,1.71,
1777647883.7097,67.83,ACK,64,rtt=1.617ms,1.617,
1777647883.7101,68.27,SENT,66,size=1024B,,1024
1777647883.7105,68.64,SENT,67,size=1024B,,1024
1777647883.7109,69.1,SENT,68,size=1024B,,1024
1777647883.7114,69.58,SENT,69,size=1024B,,1024
1777647883.7119,70.08,ACK,65,rtt=1.762ms,1.762,
1777647883.7123,70.49,ACK,66,rtt=1.872ms,1.872,
1777647883.7127,70.86,ACK,67,rtt=1.849ms,1.849,
1777647883.7131,71.3,SENT,70,size=1024B,,1024
1777647883.7136,71.73,SENT,71,size=1024B,,1024
1777647883.7141,72.3,SENT,72,size=1024B,,1024
1777647883.7148,72.99,ACK,68,rtt=3.195ms,3.195,
1777647883.7153,73.42,ACK,69,rtt=2.134ms,2.134,
1777647883.7156,73.79,ACK,70,rtt=2.117ms,2.117,
1777647883.716,74.18,ACK,71,rtt=2.02ms,2.02,
1777647883.7164,74.57,SENT,73,size=1024B,,1024
1777647883.7168,74.95,SENT,74,size=1024B,,1024
1777647883.7173,75.47,SENT,75,size=1024B,,1024
1777647883.7178,75.97,SENT,76,size=1024B,,1024
